Name,Location,Price,Notes / Services Offered
Jeetu Brass Band,"Amarpali Chauraha, Indira Nagar, Lucknow ",20000,Brass & DJ band for wedding processions & functions.
The Sangat Band,"Gomti Nagar, Lucknow ",50000,"Live band covering Bollywood, Sufi, pop; for Sangeet functions."
Anchor Deepak,"Charbagh, Lucknow ",15000,Emcee / anchor / comedian for weddings.
Indian Saints Live Music Band,"Indira Nagar, Lucknow",25000,"Live music band – rock, Bollywood, concept performances."
D Jay Avi,"Lucknow, Uttar Pradesh",40000,"DJ service with 6 years+ experience, suitable for weddings, engagements."
Robin DJ Band,"Hotel Saubhagya Inn (Lucknow, Uttar Pradesh)",35000,"DJ + wedding band services: modern & traditional blend, full sound & lighting setup."
